Perfume,Marca,Acordes,Notas
Iniquite   Limited Edition,Ormonde Jayne,"Cítrico, Rosas, Floral blanco, Ámbar, Florales, Fresco especiado, Animálico, Dulce","Flor de azahar del naranjo, Aceite de rosas, Bergamota, Ámbar"
Iniquite   Limited Edition,Ormonmde Jayne,"Cítrico, Rosas, Floral blanco, Ámbar, Florales, Fresco especiado, Animálico, Dulce","Flor de azahar del naranjo, Aceite de rosas, Bergamota, Ámbar"
Inis The Energy Of The Sea,Fragrances Of Ireland,"Aromático, Cítrico, Marino, Fresco especiado, Floral blanco, Salado, Fresco, Amaderado, Acuático, Atalcado","Notas marinas, Bergamota, Limón siciliano (lima siciliana), Neroli, Lirio de los valles (muguete), Geranio, Musgo de roble, Almizcle, Sándalo, Nuez moscada, Clavos de olor"
Initial,Boucheron,"Florales, Afrutados, Fresco especiado, Amielado, Fresco","Cassis, Almizcle, Flores silvestres, Rosa, Pachulí, Jazmín, Almendro, Pimienta, Mandarin orange, Miel, Red currant leaf"
Initial,Flavia,"Amaderado, Oud, Fresco especiado, Cálido especiado, Pachulí, Lavanda, Almizclado, Metálico, Terrosos, Cuero","Azafrán, Nuez moscada, Lavanda, Notas amaderadas, Madera de oud, Pachulí, Almizcle"
Initial Perle De Soleil,Boucheron,"Cítrico, Afrutados, Fresco especiado, Rosas, Florales","Rosa, Pachulí, Jazmín, Pimienta, Vainilla, Mandarin orange, Grosellas negras, Miel, Ámbar"
Initiation,Molyneux,"Floral blanco, Dulce, Amaderado, Florales, Floral amarillo","Algalia (civet), Melocotón (durazno), Ylang-ylang, Bergamota, Heliotropo, Jazmín, Coco, Musgo de roble, Ámbar, Gardenia, Vetiver, Mandarin orange, Clavel, Lirio de los valles (muguete), Narcissus, Palo de rosa brasileño, Rosa, Pachulí, Nardos, Miel, Aldehídos"
Inizio For Her,Fragrance World,"Floral blanco, Dulce, Afrutados, Ámbar, Cítrico, Rosas, Avainillado, Florales, Animálico","Naranja, Fresa, Pera, Jazmín, Durazno (melocotón), Rosa, Praliné, Ámbar gris, Vainilla, Musgo, Sándalo"
Inizzio,L Acqua Di Fiori,"Afrutados, Amaderado, Atalcado, Dulce, Floral blanco","Melocotón (durazno), Cassis, Almizcle, Hojas de violeta, Grosella roja, Sándalo, Vetiver, Fruity notes, False jasmine, Rosa de bulgaria (rosa damascena de bulgaria)"
Inizzio Amore,L Acqua Di Fiori,"Florales, Cítrico, Afrutados, Ámbar, Fresco","Almizcle, Sándalo, Toronja (pomelo), Osmanto (olivo oloroso), Fresia, Mandarin orange, Pera, Lirio de los valles (muguete), Té verde, Limón (lima ácida), Ámbar, Magnolia"
Ink,Akro,"Aromático, Amaderado, Cuero, Ahumado, Terrosos","Tinta, Abedul, Vetiver, Jazmín"
Ink,Mallo,"Amaderado, Ámbar, Aromático, Afrutados, Dulce, Balsámico, Cálido especiado, Fresco especiado, Oud","Tinta, Frambuesa, Styrax, Incienso, Sándalo, Oud indio, Ládano, Musgo de roble"
Ink,Perfumer H,"Amaderado, Almizclado, Aromático, Ámbar, Verde, Fresco especiado, Atalcado, Balsámico","Papiro de egipto, Cedro de virginia, Gálbano, Notas amaderadas, Incienso de olíbano (franquincienso), Vetiver de haití, Pimienta negra, Almizcle ambreta, Almizcle, Elemí, Angélica, Ambroxan, Hojas de pachulí de indonesia, Rosa turca"
Ink 黑松墨,To Summer | 观夏,"Amaderado, Atalcado, Aromático, Iris, Fresco especiado, Coco, Avainillado, Almizclado, Dulce, Ámbar","Iris, Coco, Bergamota, Cedro, Enebro de virginia, Sándalo, Almizcle, Haba tonka, Ámbar"
Inkcense 松烟黛墨,Aromag 岩兰,"Ámbar, Florales, Ahumado, Amaderado, Acuático, Balsámico, Cálido especiado, Aromático, Ozónico, Atalcado","Flor de loto, Incienso, Tinta, Almizcle blanco, Pachulí, Kumquat (naranja enana), Ámbar, Sándalo, Cedro, Almizcle ambreta"
Inkcense Musky Moonlight 松烟黛墨 麝香月,Aromag 岩兰,"Ámbar, Pachulí, Amaderado, Cítrico, Balsámico, Fresco especiado, Cálido especiado, Floral blanco, Conífera","Kumquat (naranja enana), Almizcle blanco, Lavanda, Cardamomo, Pachulí, Incienso de olíbano (franquincienso), Agujas de pino, Jazmín, Cedro, Ládano, Elemí, Vetiver, Almizcle"
Ink Mark,Louis Vuitton,"Amaderado, Atalcado, Cálido especiado, Balsámico, Aromático","Sándalo, Incienso, Ámbar"
Inlé,Memo Paris,"Florales, Floral blanco, Afrutados, Verde, Fresco, Cítrico, Fresco especiado, Aromático, Almizclado, Atalcado","Té, Esencia de neroli, Bergamota, Cardamomo, Osmanto (olivo oloroso), Jazmín sambac (sampaguita), Higo, Yerba mate, Almizcle, Violeta, Cedro"
Inle,Memo Paris,"Florales, Aromático, Afrutados, Fresco especiado, Floral blanco","Almizcle, Jazmín, Menta, Artemisia, Osmanto (olivo oloroso), Spices, Mate, Iris, Bergamota, Cedro"
Inle Iris,Memo Paris,"Aromático, Iris, Florales, Fresco especiado, Atalcado, Cítrico, Afrutados, Almizclado, Violeta, Verde","Bergamota, Abrótano, Menta, Yerba mate, Osmanto (olivo oloroso), Jazmín sambac (sampaguita), Iris, Almizcle"
In Love,Eudora,"Fresco, Afrutados, Florales, Tropical, Floral blanco","Accord eudora®, Almizcle, Gardenia, Peonía, Pachulí, Hoja de frambuesa, Sándalo, Vainilla, Mandarin orange, Lirio de los valles (muguete), Litchi, Bergamota, Jazmín sambac"
In Love,Korloff Paris,"Amaderado, Rosas, Florales, Pachulí, Oud","Papyrus, Ylang-ylang, Peonía, Rosa, Pachulí, Haba tonka, Madera de oud, Pimienta rosa, Jazmín sambac"
In Love,La Rive,"Floral blanco, Atalcado, Rosas, Ozónico, Violeta, Acuático, Almizclado, Cítrico, Fresco, Florales","Violeta, Mandarina, Azucena, Rosa, Melón, Almizcle"
Inlove,Pure Sense,"Dulce, Cuero, Tabaco, Aromático, Amaderado, Afrutados, Floral amarillo, Cítrico, Animálico, Ahumado","Nectarina, Naranja sanguina, Champagne rosé, Ylang-ylang, Azafrán, Cuero, Tinta, Tabaco, Almizcle ambreta"
In Love Again,Yves Saint Laurent,"Afrutados, Aromático, Verde, Cítrico, Fresco especiado, Especiado suave, Amaderado, Fresco, Florales, Rosas","Toronja (pomelo), Grosellas negras, Casia, Moras azules, Vodka, Manzana, Toronja (pomelo), Rosa, Nenúfar (lirio de agua), Tomate, Zarzamora (frambuesa negra), Almizcle, Sándalo"
In Love Again Edition Fleur De La Passion,Yves Saint Laurent,"Afrutados, Florales, Dulce, Cítrico, Especiado suave","Cassis, Almizcle, Vanille, Peonía, Rosa, Sándalo, Toronja (pomelo), Magnolia, Star anise, Grosellas negras, Arándano, Flor de la pasión, Uvas, Frambuesa"
In Love Again Jasmin Etoile,Yves Saint Laurent,"Afrutados, Floral blanco, Amaderado, Cítrico, Especiado suave","Cassis, Vanille, Jazmín, Sándalo, Mandarin orange, Star anise, Cedro de virginia, Carambola (star fruit)"
In Love With Everything,Imaginary Authors,"Afrutados, Dulce, Cítrico, Amaderado, Fresco","Ponche, Azúcar de palma, Frambuesa, Cítricos, Sándalo"
In Love With The Cocos,Fugazzi,"Cítrico, Floral blanco, Almizclado, Fresco especiado, Aromático, Rosas, Florales, Atalcado, Ámbar","Entusiasmo de limón, Bergamota, Agua de coco, Flor de azahar del naranjo, Geranio, Rosa, Almizcle, Almizcle ambreta, Ámbar"
In Me,Armand Basi,"Cítrico, Floral blanco, Amaderado, Dulce, Florales","Flor de azahar del naranjo, Rosa, Pachulí, Madera de cachemira, Sándalo, Jazmín indio, Toronja rosa, Iris, Jengibre, Pimienta rosa, Jazmín sambac, Magnolia, Frambuesa"
Innamorata,Blumarine,"Cítrico, Florales, Tropical, Almizclado, Dulce","Almizcle, Benjuí, Ylang-ylang, Flor de toronja, Frangipani, Madera de cachemira, Passionfruit, Mandarin orange, Bergamota, Magnolia"
Innamorata,O Boticario,"Floral blanco, Nardos, Verde, Floral amarillo, Herbal","Almizcle, Casia, Jazmín, Manzanilla, Nardos, Sándalo, Lirio de los valles (muguete), Frutas, Narcissus"
Innamorata,O Boticário,"Floral blanco, Nardos, Verde, Floral amarillo, Herbal, Afrutados, Florales, Almizclado, Aromático, Animálico","Manzanilla, Frutas, Casia, Nardos, Narciso, Jazmín, Lirio de los valles (muguete), Almizcle, Sándalo"
Innamorata Lovely Rose,Blumarine,"Rosas, Cítrico, Florales, Afrutados, Almizclado","Almizcle, Gardenia, Lime, Rose petals, Manzana verde, Fresia, Cedro, Limón (lima ácida), Bergamota, Ámbar, Frambuesa"
Inner Angel,Bath & Body Works,"Dulce, Cálido especiado, Afrutados, Fresco, Amaderado, Ámbar, Avainillado, Verde, Lactónico","Manzana, Especias, Coñac, Haba tonka, Praliné"
Inner Sun,Brocard,"Cítrico, Dulce, Afrutados, Atalcado, Fresco","Naranja, Mandarina, Kumquat (naranja enana), Limón (lima ácida), Lima (limón verde), Bergamota, Nectarina, Durazno (melocotón), Chabacano, Pera, Almizcle, Sándalo, Cedro"
In New York,Van Cleef Arpels,"Aromático, Cítrico, Marino, Lavanda, Ámbar","Almizcle, Limón italiano (lima italiana), Haba tonka, Sea notes, Notas amaderadas, Mandarin orange, Lavanda, Esclarea, Ámbar"
Innocence,Poesie,"Coco, Afrutados, Dulce, Almizclado, Atalcado, Lactónico, Tropical, Avainillado","Durazno (melocotón), Leche de coco, Almizcle"
Innocence,Rasasi,"Floral blanco, Florales, Cálido especiado, Cítrico, Rosas","Melocotón (durazno), Vanille, Gardenia, Rosa, Jazmín, Albaricoque, Sándalo, Clavel, Cítricos, Bergamota"
Innocent,Mugler,"Afrutados, Dulce, Cítrico, Nueces, Almendrado, Almizclado, Ámbar, Florales","Mandarina, Bergamota, Grosellas negras, Bayas rojas, Almendra, Praliné, Almizcle blanco, Ámbar"
Innocent And Delicious,Calaj,"Dulce, Caramelo, Verde, Cítrico, Lactónico, Avainillado, Aromático, Fresco especiado","Lima (limón verde), Menta, Lichi, Leche, Fresh cream, Azúcar, Algodón de azúcar, Caramelo, Vainilla"
Innocente,Intimissimi,"Atalcado, Violeta, Avainillado, Almizclado, Florales, Amaderado","Bergamota, Violeta, Heliotropo, Almizcle, Haba tonka, Sándalo"
Innocente Fragilité,Chabaud Maison De Parfum,"Floral blanco, Dulce, Coco, Almizclado, Floral amarillo, Lactónico, Animálico","Coco, Gardenia, Ylang-ylang, Jazmín, Flor de azahar del naranjo, Almizcle blanco"
Innocente Fragilite,Chabaud Maison De Parfum,"Floral blanco, Dulce, Almizclado, Floral amarillo, Coco","Gardenia, Flor de azahar del naranjo, Ylang-ylang, Jazmín, Coco, Almizcle blanco"
Innocent Rock,Mugler,"Afrutados, Rosas, Fresco especiado, Tropical, Dulce, Cálido especiado, Fresco, Florales","Uvas, Lichi, Rosa, Pimienta"
Innocent Rock (2019),Mugler,"Rosas, Pachulí, Cítrico, Cálido especiado, Ámbar, Afrutados, Amaderado, Balsámico, Ahumado, Tropical","Bergamota, Lichi, Rosa, Pachulí, Incienso"
Innocent Rock 2019,Mugler,"Cítrico, Rosas, Pachulí, Afrutados, Cálido especiado","Rosa, Pachulí, Incense, Litchi, Bergamota"
Innocent Secret,Mugler,"Dulce, Afrutados, Cítrico, Florales, Almizclado","Almizcle, Praliné, Floral notes, Cítricos, Fruity notes"
Innocent Tuberose,Aphorismes By Dominique Ropion,"Floral blanco, Verde, Cítrico, Nardos, Almizclado, Amaderado, Fresco especiado, Animálico, Especiado suave, Dulce","Jengibre, Pimienta rosa, Flor del grosellero negro, Flor de azahar del naranjo, Toronja (pomelo), Bergamota, Cardamomo, Mandarina, Nardos, Acordes verdes, Jazmín sambac (sampaguita), Ylang-ylang, Lirio de los valles (muguete), Almizcle, Cachemira, Ámbar gris, Vetiver, Cipriol (nagarmota)"
Innocent White Lilac,Oriflame,"Florales, Verde, Fresco, Atalcado, Avainillado","Notas verdes, Lila, Heliotropo, Notas amaderadas"
Innovation,Pierre Cardin,"Avainillado, Fresco, Cítrico, Afrutados, Dulce","Peonía, Ciruela, Haba tonka, Fennel, Café, Vainilla, Sándalo, Lavanda, Neroli, Madera de oud, Bergamota"
Innuendo,Roja Dove,"Amaderado, Cítrico, Atalcado, Floral amarillo, Floral blanco, Dulce, Florales, Rosas, Iris, Pachulí","Cedrón (hierba luisa), Verbena de olor, Naranja, Bergamota, Limón (lima ácida), Ylang-ylang, Jazmín, Rosa de mayo, Violeta, Raíz de lirio, Pachulí, Sándalo, Haba tonka, Ládano, Almizcle"
Inoui,Shiseido,"Aromático, Amaderado, Verde, Musgoso, Fresco especiado","Melocotón (durazno), Acordes verdes, Pino, Enebro, Civetta, Galbanum, Limón de amalfi, Myrhh, Jazmín, Musgo de roble, Tomillo, Fresia, Cedro de virginia"
Inox,Clive Christian,"Cálido especiado, Amaderado, Ozónico, Cuero, Oud, Verde, Floral blanco, Aromático, Metálico, Fresco","Azafrán, Casis (grosellero negro), Bergamota, Notas ozónicas, Lirio de los valles (muguete), Bálsamo de gurjum, Madera de oud, Sándalo, Cuero"
In Paradise Riviera,Ex Nihilo,"Florales, Floral blanco, Fresco, Almizclado, Cítrico, Atalcado, Rosas, Nardos, Amaderado, Fresco especiado","Bergamota, Peonía, Flor de tiaré, Nardos, Almizcle, Cachemira"
Inquisitor,Solstice Scents,"Ámbar, Ahumado, Cuero, Amaderado, Cálido especiado, Animálico, Cera de abeja, Amielado, Aromático, Balsámico","Cuero, Humo, Fuego, Cera de abeja, Palo santo, Ámbar, Mirra, Incienso de olíbano (franquincienso), Sándalo, Madera de oud, Benjuí, Palisandro, Vetiver, Pachulí"
In Red,Armand Basi,"Cítrico, Fresco especiado, Amaderado, Floral blanco, Fresco, Aromático, Cálido especiado","Bergamota, Jengibre, Mandarina, Cardamomo, Azucena, Jazmín, Hojas de violeta, Pimienta rosa, Rosa, Peonía, Grosellas negras, Notas amaderadas, Musgo de roble, Almizcle blanco, Palisandro, Ámbar, Vainilla, Praliné"
In Red Blooming Bouquet,Armand Basi,"Floral blanco, Fresco, Cítrico, Cálido especiado, Amaderado","Almizcle, Hojas de violeta, Gardenia, Rosa, Jazmín, Sándalo, Mandarin orange, Lirio de los valles (muguete), Jengibre, Cedro"
In Red Celebration Edition,Armand Basi,"Cítrico, Floral blanco, Musgoso, Amaderado, Aromático","Almizcle, Gardenia, Hojas de violeta, Rosa, Jazmín, Sándalo, Mandarin orange, Cardamomo, Musgo de roble, Bergamota"
In Red Eau Fraiche,Armand Basi,"Cítrico, Floral blanco, Cálido especiado, Amaderado, Acuático","Almizcle, Hojas de violeta, Gardenia, Rosa, Water notes, Jazmín, Sándalo, Mandarin orange, Lirio de los valles (muguete), Cardamomo, Musgo de roble, Jengibre, Bergamota, Cedro"
In Red Edp,Armand Basi,"Cítrico, Fresco especiado, Amaderado, Fresco, Cálido especiado, Aromático, Floral blanco","Jengibre, Bergamota, Mandarina, Cardamomo, Jazmín, Hojas de violeta, Lirio de los valles (muguete), Rosa, Notas amaderadas, Almizcle blanco"
Insence Ultramarine Hawaii,Givenchy,"Cítrico, Aromático, Amaderado, Marino, Florales, Lavanda, Fresco especiado, Ámbar, Salado, Atalcado","Toronja (pomelo), Lavanda, Mandarina, Agua de mar, Flores, Notas amaderadas, Sándalo, Ámbar"
Insensatez,O Boticario,"Cítrico, Dulce, Afrutados, Fresco, Verde","Almizcle, Tea, Jazmín, Papaya, Musgo de roble, Bergamota, Lirio de los valles (muguete), Violeta, Notas amaderadas, Tincture of rose, Piña, Mandarina"
Insensatez,O Boticário,"Cítrico, Dulce, Afrutados, Fresco, Floral blanco, Verde, Tropical, Atalcado, Almizclado, Amaderado","Bergamota, Piña, Naranja tangerina, Papaya, Té, Jazmín, Violeta, Tintura de rosas, Lirio de los valles (muguete), Almizcle, Notas amaderadas, Musgo de roble"
Insensatez Orgulho,O Boticario,"Cítrico, Fresco especiado, Aromático, Amaderado, Almizclado","Almizcle, Nuez moscada, Pachulí, Sándalo, Toronja (pomelo), Fresia, Mandarin orange, Geranio, Cardamomo, Romero, Lirio de los valles (muguete), Cidra, Jengibre, Bergamota, Cedro"
Insense,Givenchy,"Fresco, Fresco especiado, Aromático, Cítrico, Florales, Amaderado, Aldehídico, Verde, Floral blanco, Afrutados","Aldehídos, Grosellas negras, Lavanda, Albahaca, Bergamota, Limón (lima ácida), Mandarina, Lirio de los valles (muguete), Magnolia, Iris, Abeto"
Insense Ultramarine,Givenchy,"Aromático, Verde, Florales, Afrutados, Amaderado, Ozónico, Acuático, Cálido especiado, Cítrico, Iris","Sandía, Grosellas negras, Bergamota, Gálbano, Iris, Magnolia, Menta, Clavel, Lirio de los valles (muguete), Cardamomo, Salvia, Tabaco, Vetiver, Cedro"
Insense Ultramarine Beach Boy,Givenchy,"Aromático, Verde, Marino, Fresco especiado, Ámbar, Amaderado, Acuático, Cítrico, Avainillado, Ozónico","Menta, Bergamota, Melón, Agua de mar, Pino, Ámbar, Vainilla"
Insense Ultramarine Beach Girl,Givenchy,"Acuático, Coco, Ozónico, Marino, Cítrico, Tropical, Dulce, Florales, Aromático, Afrutados","Sandía, Maracuyá (fruta de la pasión), Bergamota, Agua de mar, Magnolia, Coco, Ámbar"
Insense Ultramarine Blue Energy,Givenchy,"Aromático, Amaderado, Verde, Ozónico, Dulce, Acuático, Afrutados, Cítrico, Fresco especiado, Cálido especiado","Sandía, Piña, Lima (limón verde), Menta, Pimienta rosa, Cardamomo, Vetiver, Cedro, Sándalo"
Insense Ultramarine Blue Laser,Givenchy,"Amaderado, Cálido especiado, Aromático, Terrosos, Cítrico, Fresco especiado, Atalcado, Afrutados, Iris, Pachulí","Toronja (pomelo), Higo negro, Vetiver, Cedro de virginia, Sándalo, Cardamomo, Iris, Pachulí, Pimienta"
Insense Ultramarine Blue Sky,Givenchy,"Cítrico, Florales, Amaderado, Verde, Fresco, Fresco especiado, Aromático, Atalcado, Lactónico","Bergamota, Hojas de higuera, Ciclamen (violeta persa), Magnolia, Cedro"
Insense Ultramarine For Her,Givenchy,"Cítrico, Verde, Marino, Rosas, Atalcado","Rosa, Toronja (pomelo), Almizcle blanco, Seagrass, Hojas verdes, Bergamota, Orquídea, Ámbar, Cedro"
Insense Ultramarine Ice Cube,Givenchy,"Aromático, Verde, Amaderado, Atalcado, Terrosos, Fresco especiado, Cálido especiado, Especiado suave, Cítrico, Musgoso","Gálbano, Heliotropo, Bergamota, Casia, Menta, Salvia, Clavos de olor, Musgo de roble, Sándalo, Vetiver, Cedro"
Insense Ultramarine Sport,Givenchy,"Fresco especiado, Afrutados, Amaderado, Lavanda, Aromático, Dulce, Atalcado, Verde, Almizclado","Notas afrutadas, Cedro, Lavanda, Nuez moscada, Pimienta, Almizcle, Menta"
Insense Ultramarine Wild Surf,Givenchy,"Floral blanco, Cítrico, Fresco especiado, Ámbar, Lavanda, Musgoso, Aromático, Terrosos, Dulce, Verde","Naranja, Lima (limón verde), Jazmín, Lavanda, Madreselva, Pimienta, Albahaca, Ámbar, Musgo de roble"
Insherah Gold,Rasasi,"Amaderado, Atalcado, Almizclado, Cálido especiado, Cítrico, Iris","Limón (lima ácida), Clavos de olor, Sándalo, Iris, Almizcle, Notas amaderadas"
Insherah Silver,Rasasi,"Cálido especiado, Amaderado, Cítrico, Almizclado, Rosas, Floral blanco, Ámbar, Atalcado, Aromático, Florales","Bergamota, Azafrán, Cardamomo, Rosa, Jazmín, Notas amaderadas, Almizcle, Ámbar"
Inside Out,The Gate Fragrances Paris,"Aromático, Dulce, Tropical, Avainillado, Florales, Afrutados, Fresco, Fresco especiado, Amargo, Cítrico","Maracuyá (fruta de la pasión), Sorbete, Albahaca, Casis (grosellero negro), Mandarina, Frangipani (plumeria), Plumaria, Atapaima, Absenta, Romero, Ajenjo (absenta), Magnolia, Helado, Vainilla"
Inside Out Extrait De Parfum,The Gate Fragrances Paris,"Fresco, Dulce, Cítrico, Afrutados, Tropical, Avainillado, Acuático, Aromático, Amargo","Hielo, Mandarina, Maracuyá (fruta de la pasión), Sorbete, Capullos del grosellero, Albahaca, Absenta, Frangipani (plumeria), Plumaria, Atapaima, Romero, Magnolia, Ajenjo (absenta), Helado, Vainilla"
Insidious,Insider Parfums,"Afrutados, Amaderado, Cítrico, Dulce, Cuero, Terrosos, Pachulí, Ahumado, Musgoso, Fresco","Piña, Bergamota, Manzana, Grosellas negras, Abedul, Pachulí, Rosa, Jazmín de marruecos, Musgo de roble, Ámbar gris, Almizcle, Vainilla"
Insieme,Bois 1920,"Afrutados, Dulce, Marino, Cítrico, Aromático","Fresa, Almizcle, Jazmín, Sea notes, Vainilla, Mandarin orange, Jengibre, Ámbar, Frambuesa"
Insieme,Bvlgari,"Amaderado, Almizclado, Florales, Atalcado, Fresco, Cítrico, Pachulí, Rosas","Cedro, Almizcle, Peonía, Pachulí, Mandarina italiana, Naranja"
Insignia,Thameen,"Amaderado, Aromático, Fresco especiado, Whiskey, Cítrico","Suede, Hoja de laurel, Naranja amarga, Whiskey, Sándalo, Vetiver, Damask rose, Higo, Geranio"
Insolence,Guerlain,"Violeta, Atalcado, Afrutados, Dulce, Iris, Amaderado, Ámbar, Florales, Fresco, Rosas","Frambuesa, Bayas rojas, Bergamota, Limón (lima ácida), Violeta, Rosa, Flor de azahar del naranjo, Iris, Haba tonka, Resinas, Almizcle, Sándalo"
Insolence Blooming,Guerlain,"Violeta, Atalcado, Afrutados, Iris, Fresco, Florales, Dulce, Amaderado","Violeta, Iris, Bayas rojas"
